numero_processo,taxa_vitoria,incerteza,valor_da_causa
1764352-89.2025.8.06.1818,0.7653477494233694,0.4780251459269546,13534.0
5638325-36.2025.8.17.4124,0.539828091435504,0.4780251459269546,7883.63
1037491-89.2025.8.18.1658,0.5397451615407071,0.4780251459269546,8561.97
9547931-23.2025.8.04.4188,0.5400958891985029,0.4780251459269546,5693.13
9999446-69.2025.8.04.4264,0.5397508219088545,0.4780251459269546,8515.67
2412149-28.2025.8.24.1145,0.7649287770418751,0.4780251459269546,16961.06
8874499-95.2025.8.07.3223,0.5394250964517027,0.4780251459269546,11180.0
6064536-08.2025.8.05.2439,0.53883320287966,0.4780251459269546,16021.5
6140081-15.2025.8.25.2962,0.5380447478278969,0.4780251459269546,22470.81
4240001-27.2025.8.10.0476,0.5397333652356846,0.4780251459269546,8658.46
4060328-48.2025.8.03.5952,0.7646808798129373,0.4780251459269546,18988.78
3958810-04.2025.8.11.6659,0.7638664604201992,0.4780251459269546,25650.47
7535845-01.2025.8.20.6188,0.5394377925474285,0.4780251459269546,11076.15
2778665-68.2025.8.14.3195,0.5388646711034426,0.4780251459269546,15764.1
2401594-98.2025.8.21.9938,0.5395964295605613,0.4780251459269546,9778.55
1996289-38.2025.8.13.1427,0.5380958549618134,0.4780251459269546,22052.77
6525750-71.2025.8.07.2464,0.5380443321637133,0.4780251459269546,22474.21
8242761-70.2025.8.25.4530,0.5384178027650612,0.4780251459269546,19419.34
5764134-07.2025.8.09.1923,0.5391502849668761,0.4780251459269546,13427.87
2745205-35.2025.8.02.4268,0.5394850633454386,0.4780251459269546,10689.49
4457574-26.2025.8.25.5559,0.7650675404168645,0.4780251459269546,15826.02
5899277-63.2025.8.24.0095,0.5392334385868072,0.4780251459269546,12747.7
4937049-13.2025.8.04.5655,0.5376543988156111,0.4780251459269546,25663.74
5250775-41.2025.8.21.7819,0.5393920707097731,0.4780251459269546,11450.14
8968643-90.2025.8.17.4196,0.7658295408884243,0.4780251459269546,9593.1
3560488-21.2025.8.20.3063,0.7651170472436741,0.4780251459269546,15421.07
6499469-09.2025.8.12.9260,0.7647964613518985,0.4780251459269546,18043.36
7893459-62.2025.8.03.6963,0.5395225990437602,0.4780251459269546,10382.46
1692558-47.2025.8.22.3884,0.765628555030232,0.4780251459269546,11237.1
7993277-24.2025.8.12.8327,0.5388588640302893,0.4780251459269546,15811.6
2905818-71.2025.8.25.6327,0.538572830835047,0.4780251459269546,18151.26
4677301-60.2025.8.26.9537,0.5391662403588181,0.4780251459269546,13297.36
2130223-97.2025.8.14.0588,0.5388804541170026,0.4780251459269546,15635.0
1157075-12.2025.8.02.5425,0.5393972591768179,0.4780251459269546,11407.7
3856154-88.2025.8.16.3659,0.5381282706554263,0.4780251459269546,21787.62
7336153-17.2025.8.04.8332,0.5402285753186197,0.4780251459269546,4607.8
4907807-90.2025.8.21.2049,0.5390106107983079,0.4780251459269546,14570.36
7777075-57.2025.8.05.7238,0.5378643507947521,0.4780251459269546,23946.4
3087363-18.2025.8.01.6040,0.7648149901941538,0.4780251459269546,17891.8
8067389-33.2025.8.09.6205,0.5389460605956767,0.4780251459269546,15098.36
5670220-02.2025.8.16.3360,0.5387212046104698,0.4780251459269546,16937.61
4488778-24.2025.8.05.0365,0.5388153623283911,0.4780251459269546,16167.43
3977227-33.2025.8.26.3787,0.5388351882874075,0.4780251459269546,16005.26
2193662-31.2025.8.21.5489,0.5393994560842825,0.4780251459269546,11389.73
